,Skimmer Preselection,HLT,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMR_up0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,6287466.0,6287466.0,1083184.0,708572.0,1507.0
ttbar,65282.94,65282.94,11876.17,8008.26,10.27
qcd,4381637.28,4381637.28,699309.5,454503.77,1073.06
hbb,431.59,431.59,70.74,61.83,5.75
Zto2Q,45814.95,45814.95,7457.7,5915.99,224.97
Wto2Q,64020.52,64020.52,9685.22,7312.14,8.1
Zto2Q_BB,14719.31,14719.31,2339.78,2185.44,217.18
Zto2Q_CC,7187.7,7187.7,1104.25,1046.1,3.47
Zto2Q_QQ,4486.37,4486.37,588.8,546.91,0.06
Zto2Q_unmatched,19421.57,19421.57,3424.87,2137.54,4.26
