,Skimmer Preselection,HLT,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,6287466.0,5861759.0,1083184.0,708572.0,3196.0
ttbar,65282.94,55303.46,11876.17,8002.63,29.27
qcd,4381637.28,4137336.5,699309.5,454503.77,2581.31
hbb,431.59,383.34,70.74,61.94,8.02
Zto2Q,45814.95,42134.15,7457.7,5919.73,260.47
Wto2Q,64020.52,60301.95,9685.22,7317.08,11.45
Zto2Q_BB,14719.31,13170.37,2339.78,2185.63,244.86
Zto2Q_CC,7187.7,6573.96,1104.25,1046.65,6.97
Zto2Q_QQ,4486.37,4302.82,588.8,546.49,0.5
Zto2Q_unmatched,19421.57,18087.0,3424.87,2140.96,8.13
