,Skimmer Preselection,HLT,450 ≤ bbFatJetPt_JES_down0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,6287466.0,6287466.0,2229933.0,1331150.0,2924.0
ttbar,65282.94,65282.94,18600.21,8917.78,10.0
qcd,4381637.28,4381637.28,1599270.9,960998.98,2244.03
hbb,431.59,431.59,164.97,143.05,18.94
Zto2Q,45814.95,45814.95,14716.39,10822.53,445.47
Wto2Q,64020.52,64020.52,20864.63,14848.06,11.57
Zto2Q_BB,14719.31,14719.31,4670.3,3948.66,426.72
Zto2Q_CC,7187.7,7187.7,2404.57,2129.77,11.58
Zto2Q_QQ,4486.37,4486.37,1477.77,1271.37,0.59
Zto2Q_unmatched,19421.57,19421.57,6163.74,3472.74,6.58
