,Skimmer Preselection,HLT,550 ≤ bbFatJetPt_JER_down0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,6287466.0,6287466.0,1906555.0,1005881.0,2312.0
ttbar,65282.94,65282.94,18206.53,6376.89,7.15
qcd,4381637.28,4381637.28,1447504.78,770543.98,1845.13
hbb,431.59,431.59,126.11,108.99,15.17
Zto2Q,45814.95,45814.95,15321.62,9971.76,437.26
Wto2Q,64020.52,64020.52,23896.76,16216.75,34.83
Zto2Q_BB,14719.31,14719.31,4893.92,3542.23,413.34
Zto2Q_CC,7187.7,7187.7,2477.48,1989.26,18.34
Zto2Q_QQ,4486.37,4486.37,1933.09,1542.09,1.18
Zto2Q_unmatched,19421.57,19421.57,6017.12,2898.18,4.39
