,Skimmer Preselection,HLT,450 ≤ bbFatJetPt_JES_up0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,6287466.0,5861759.0,2229933.0,1331150.0,2924.0
ttbar,65282.94,55303.46,18913.66,9256.69,10.04
qcd,4381637.28,4137336.5,1599270.9,960998.98,2244.03
hbb,431.59,383.34,165.41,143.62,19.55
Zto2Q,45814.95,42134.15,14751.4,10913.05,445.97
Wto2Q,64020.52,60301.95,20700.76,14761.84,11.57
Zto2Q_BB,14719.31,13170.37,4678.32,3981.57,427.42
Zto2Q_CC,7187.7,6573.96,2395.72,2132.07,11.55
Zto2Q_QQ,4486.37,4302.82,1453.7,1256.37,0.48
Zto2Q_unmatched,19421.57,18087.0,6223.66,3543.04,6.53
