,Skimmer Preselection,HLT,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMS_up0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,6287466.0,5861759.0,1083184.0,708572.0,635.0
ttbar,65282.94,55303.46,11876.17,7966.64,1.63
qcd,4381637.28,4137336.5,699309.5,454503.77,330.08
hbb,431.59,383.34,70.74,61.91,5.87
Zto2Q,45814.95,42134.15,7457.7,5913.42,203.34
Wto2Q,64020.52,60301.95,9685.22,7309.77,4.32
Zto2Q_BB,14719.31,13170.37,2339.78,2182.89,200.48
Zto2Q_CC,7187.7,6573.96,1104.25,1045.81,1.78
Zto2Q_QQ,4486.37,4302.82,588.8,545.99,0.0
Zto2Q_unmatched,19421.57,18087.0,3424.87,2138.73,1.09
