,Skimmer Preselection,HLT,450 ≤ bbFatJetPt_JER_up0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,6287466.0,5861759.0,2229933.0,1331150.0,5549.0
ttbar,65282.94,55303.46,18761.23,9092.0,27.25
qcd,4381637.28,4137336.5,1599270.9,960998.98,4903.69
hbb,431.59,383.34,165.54,143.66,17.58
Zto2Q,45814.95,42134.15,14740.84,10870.85,468.06
Wto2Q,64020.52,60301.95,20774.26,14807.07,33.51
Zto2Q_BB,14719.31,13170.37,4675.2,3962.74,434.19
Zto2Q_CC,7187.7,6573.96,2402.16,2131.78,18.26
Zto2Q_QQ,4486.37,4302.82,1468.8,1267.42,0.54
Zto2Q_unmatched,19421.57,18087.0,6194.68,3508.91,15.07
