,2 ≤ Category < 3
data,29.0
hh4b,0.3
hh4b-kl2p45,0.23
hh4b-kl5,0.18
vbfhh4b,0.0
vbfhh4b-k2v0,0.79
vbfhh4b-kv1p74-k2v1p37-kl14p4,0.49
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,1.87
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,0.12
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.01
vbfhh4b-kvm1p83-k2v3p57-klm3p39,0.06
vbfhh4b-kvm2p12-k2v3p87-klm5p96,2.21
ttbar,4.81
gghtobb,0.25
vbfhtobb,0.0
vhtobb,0.88
novhhtobb,0.25
tthtobb,0.39
zz,0.33
nozzdiboson,0.0
vjets,0.29
