,Skimmer Preselection,HLT,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMS_down0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,4599180.0,4377324.0,1680514.0,1035207.0,5043.0
ttbar,46570.79,41826.95,14354.06,7799.9,27.91
qcd,3307620.01,3183091.09,1242115.85,753881.8,4473.49
hbb,340.06,299.06,130.33,117.58,16.91
Zto2Q,33275.62,31027.73,10854.12,8208.63,357.15
Wto2Q,47182.68,45512.63,15709.3,11547.05,22.95
Zto2Q_BB,11146.23,9918.65,3522.01,3058.2,333.88
Zto2Q_CC,5272.89,4919.67,1760.68,1589.37,13.12
Zto2Q_QQ,3179.56,3089.75,1020.88,899.77,0.19
Zto2Q_unmatched,13676.94,13099.66,4550.55,2661.3,9.96
