,Skimmer Preselection,HLT,550 ≤ bbFatJetPt_JES_up0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,4599180.0,4377324.0,1441017.0,785928.0,1237.0
ttbar,46570.79,41826.95,14917.13,5980.61,2.39
qcd,3307620.01,3183091.09,1171680.25,630199.84,687.71
hbb,340.06,299.06,108.56,98.19,17.11
Zto2Q,33275.62,31027.73,12350.65,8404.68,560.53
Wto2Q,47182.68,45512.63,19471.2,13249.25,11.17
Zto2Q_BB,11146.23,9918.65,3998.09,3025.57,547.91
Zto2Q_CC,5272.89,4919.67,2069.66,1721.55,9.98
Zto2Q_QQ,3179.56,3089.75,1553.04,1279.36,0.25
Zto2Q_unmatched,13676.94,13099.66,4729.85,2378.19,2.39
