,Skimmer Preselection,HLT,550 ≤ bbFatJetPt_JER_up0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,4599180.0,4377324.0,1441017.0,785928.0,3391.0
ttbar,46570.79,41826.95,14552.15,5809.59,19.46
qcd,3307620.01,3183091.09,1171680.25,630199.84,3161.61
hbb,340.06,299.06,104.99,94.77,11.66
Zto2Q,33275.62,31027.73,11982.18,8131.35,329.08
Wto2Q,47182.68,45512.63,18926.91,12862.04,45.8
Zto2Q_BB,11146.23,9918.65,3874.27,2922.41,298.84
Zto2Q_CC,5272.89,4919.67,2004.82,1667.57,21.24
Zto2Q_QQ,3179.56,3089.75,1505.95,1238.86,1.09
Zto2Q_unmatched,13676.94,13099.66,4597.14,2302.51,7.92
