,Skimmer Preselection,HLT,450 ≤ bbFatJetPt_JER_up0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,4599180.0,4377324.0,1680514.0,1035207.0,2685.0
ttbar,46570.79,41826.95,14328.38,7707.52,9.57
qcd,3307620.01,3183091.09,1242115.85,753881.8,2120.04
hbb,340.06,299.06,130.01,117.02,14.82
Zto2Q,33275.62,31027.73,10834.59,8175.25,363.94
Wto2Q,47182.68,45512.63,15675.04,11501.67,11.27
Zto2Q_BB,11146.23,9918.65,3517.67,3047.92,351.86
Zto2Q_CC,5272.89,4919.67,1758.22,1585.2,7.44
Zto2Q_QQ,3179.56,3089.75,1016.53,893.74,0.38
Zto2Q_unmatched,13676.94,13099.66,4542.17,2648.38,4.26
