,3 ≤ Category < 4,3 ≤ Category_JMR_up < 4
data,190.0,
hh4b,,0.1
hh4b-kl0,,0.14
hh4b-kl2p45,,0.08
hh4b-kl5,,0.06
vbfhh4b,,0.0
vbfhh4b-k2v0,,0.7
vbfhh4b-kv1p74-k2v1p37-kl14p4,,0.7
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,1.28
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.11
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.01
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.04
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,1.65
ttbar,48.12,
gghtobb,0.14,
vbfhtobb,0.0,
vhtobb,,1.29
novhhtobb,0.15,
tthtobb,0.32,
zz,,2.21
nozzdiboson,,0.22
vjets,4.21,
